#lines starting with # should be ignored
#Column description
#escooter description - a descriptive reference for the escooter e.g. ePT050
#weight - the escooter mass in Kg with no decimal places e.g. 12
#type can be "city" or "off-road"
#park latitude, park longitude - when an escooter is parked, the park latitude and longitude are given in decimal degrees e.g. 41.152712,-8.609297
#max battery capacity - the battery max capacity in kWh e.g. 1
#actual battery capacity - the percentage with no decimal places of the battery capacity e.g. 75 for a battery with 0.75kWh charge
#aerodynamic coefficient - escooter aerodynamic coefficient with 2 decimal places e.g. 1.10
#frontal area - escooter frontal area in m^2 with 1 decimal place e.g. 0.3
#motor - scooter motor in Wh e.g. 250Wh
escooter description;weight;type;park latitude;park longitude;max battery capacity;actual battery capacity;aerodynamic coefficient;frontal area;motor
scooterA;50;city;41.15227;-8.60929;2;20;1.6;10;125
scooterB;50;off-road;41.15227;-8.60929;2;50;1.6;10;125
scooterC;50;off-road;41.14063;-8.61118;2;100;1.6;10;125
scooterD;50;city;41.14063;-8.61118;2;50;1.6;10;125
scooterD2;50;city;41.14063;-8.61118;2;0;1.6;10;125
scooterE;50;city;41.16875;-8.68995;4;100;1.6;10;125
scooterF;50;off-road;41.16875;-8.68995;2;50;1.6;10;125
ScooterDummy;50;off-road;41.16875;-8.68995;1;30;1.6;10;125
scooterAb;50;city;41.16875;-8.68995;2;50;1.6;10;125
scooterEb;50;off-road;41.16875;-8.68995;4;0;1.6;10;125
