josuemotta
Previous points:5
Earned points:80
Discounted points:80
Atual points:5
Charged Value:14.23

vehicle description;vehicle unlock time;vehicle lock time;origin park latitude;origin park longitude;destination park latitude;destination park longitude;total time spent in seconds;charged value
scooterA;2019.12.01 10:31:31;2019.12.01 10:40:01;41.15227;-8.60929;41.15227;-8.60929;510;0.0
scooterA;2019.12.02 10:31:31;2019.12.02 10:40:01;41.15227;-8.60929;41.15227;-8.60929;510;0.0
scooterA;2019.12.17 14:34:31;2019.12.17 14:53:01;41.15227;-8.60929;41.15227;-8.60929;1110;0.0
scooterA;2019.12.23 14:01:31;2019.12.23 14:53:01;41.15227;-8.60929;41.15227;-8.60929;3090;0.0
scooterA;2019.12.01 12:41:31;2019.12.01 13:10:01;41.14063;-8.61118;41.15227;-8.60929;1710;0.0
scooterA;2019.12.02 12:41:31;2019.12.02 13:10:01;41.14063;-8.61118;41.15227;-8.60929;1710;0.0
scooterA;2019.12.17 12:41:31;2019.12.17 15:14:01;41.14063;-8.61118;41.15227;-8.60929;9150;2.31
scooterA;2019.12.23 12:01:31;2019.12.23 15:14:01;41.14063;-8.61118;41.15227;-8.60929;11550;3.31
scooterA;2019.12.01 10:41:31;2019.12.01 12:50:01;41.15227;-8.60929;41.14063;-8.61118;7710;1.71
scooterA;2019.12.02 10:41:31;2019.12.02 12:50:01;41.15227;-8.60929;41.14063;-8.61118;7710;1.71
scooterA;2019.12.17 17:45:31;2019.12.17 21:50:01;41.15227;-8.60929;41.14063;-8.61118;14670;4.61
scooterA;2019.12.23 17:15:31;2019.12.23 21:50:01;41.15227;-8.60929;41.14063;-8.61118;16470;5.36
scooterC;2019.12.03 10:34:31;2019.12.03 10:43:01;41.14063;-8.61118;41.14063;-8.61118;510;0.0
scooterC;2019.12.03 10:45:31;2019.12.03 12:50:01;41.14063;-8.61118;41.14063;-8.61118;7470;1.61
scooterC;2019.12.03 12:41:31;2019.12.03 13:14:01;41.14063;-8.61118;41.14063;-8.61118;1950;0.0
scooterC;2019.12.05 10:34:31;2019.12.05 10:43:01;41.14063;-8.61118;41.14063;-8.61118;510;0.0
scooterC;2019.12.05 10:45:31;2019.12.05 12:50:01;41.14063;-8.61118;41.14063;-8.61118;7470;1.61
scooterC;2019.12.05 12:41:31;2019.12.05 13:14:01;41.14063;-8.61118;41.14063;-8.61118;1950;0.0
